"CAMPAIGN_PERFORMANCE_REPORT (Apr 13, 2016-Oct 31, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Conversions,Cost,Unique cookies
2016-04-13,390878914,TNT GDN,347908,68,0.0,517260710, --
2016-04-14,390878914,TNT GDN,341785,99,0.0,501386440, --
2016-04-16,390878914,TNT GDN,307664,54,0.0,501067570, --
2016-04-17,390878914,TNT GDN,352199,89,0.0,500589570, --
2016-04-18,390878914,TNT GDN,321946,54,0.0,526142640, --
2016-04-15,390878914,TNT GDN,347553,65,0.0,506654930, --
2016-04-19,390878914,TNT GDN,1781,1,0.0,2767810, --
2016-04-13,394914754,Hindware Rimless video promotion,1541,5,0.0,564150000, --
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),63857,96,0.0,23891390000, --
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),54874,90,0.0,19358310000, --
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),53693,74,0.0,19214570000, --
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),58340,85,0.0,19241180000, --
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),44063,69,0.0,15614290000, --
2016-09-13,658163691,HSIL_Dreambath_Android_Sep 16,29,8,7.0,5180000, --
2016-09-14,658163691,HSIL_Dreambath_Android_Sep 16,164,13,14.0,22520000, --
2016-09-15,658163691,HSIL_Dreambath_Android_Sep 16,412,19,25.0,50040000, --
2016-09-16,658163691,HSIL_Dreambath_Android_Sep 16,688,13,12.0,94880000, --
2016-09-17,658163691,HSIL_Dreambath_Android_Sep 16,554160,2867,243.0,17570227321, --
2016-09-18,658163691,HSIL_Dreambath_Android_Sep 16,10899,191,6.0,737030000, --
2016-09-14,660953896,HSIL_Dreambath_iOS_Sep16,247,2,0.0,15650000, --
2016-09-15,660953896,HSIL_Dreambath_iOS_Sep16,323,0,0.0,150000, --
2016-09-16,660953896,HSIL_Dreambath_iOS_Sep16,581,0,0.0,540000, --
2016-09-19,660953896,HSIL_Dreambath_iOS_Sep16,174,0,0.0,160000, --
2016-09-22,660953896,HSIL_Dreambath_iOS_Sep16,535,0,0.0,120000, --
2016-09-23,660953896,HSIL_Dreambath_iOS_Sep16,1217,1,0.0,1960000, --
2016-09-24,660953896,HSIL_Dreambath_iOS_Sep16,1025,0,0.0,310000, --
2016-09-25,660953896,HSIL_Dreambath_iOS_Sep16,1930,2,0.0,1660000, --
2016-09-26,660953896,HSIL_Dreambath_iOS_Sep16,676,0,0.0,270000, --
2016-09-28,660953896,HSIL_Dreambath_iOS_Sep16,140,0,0.0,490000, --
2016-09-29,660953896,HSIL_Dreambath_iOS_Sep16,1114,4,0.0,19140000, --
2016-09-30,660953896,HSIL_Dreambath_iOS_Sep16,2798,4,0.0,5890000, --
2016-10-01,660953896,HSIL_Dreambath_iOS_Sep16,4000,4,0.0,14850000, --
2016-10-07,660953896,HSIL_Dreambath_iOS_Sep16,230,1,0.0,1040000, --
2016-10-08,660953896,HSIL_Dreambath_iOS_Sep16,266,0,0.0,120000, --
2016-10-09,660953896,HSIL_Dreambath_iOS_Sep16,5084,8,0.0,43400000, --
2016-10-12,660953896,HSIL_Dreambath_iOS_Sep16,2879,6,0.0,15560000, --
2016-10-13,660953896,HSIL_Dreambath_iOS_Sep16,289,0,0.0,0, --
2016-09-17,660953896,HSIL_Dreambath_iOS_Sep16,435,0,0.0,250000, --
2016-09-21,660953896,HSIL_Dreambath_iOS_Sep16,1622,4,0.0,10970000, --
2016-09-27,660953896,HSIL_Dreambath_iOS_Sep16,63,0,1.0,110000, --
2016-10-02,660953896,HSIL_Dreambath_iOS_Sep16,3455,4,0.0,15180000, --
2016-10-03,660953896,HSIL_Dreambath_iOS_Sep16,2193,2,0.0,7190000, --
2016-10-11,660953896,HSIL_Dreambath_iOS_Sep16,1834,3,0.0,14540000, --
2016-09-20,660953896,HSIL_Dreambath_iOS_Sep16,918,0,0.0,150000, --
2016-10-04,660953896,HSIL_Dreambath_iOS_Sep16,1017,7,0.0,10290000, --
2016-10-05,660953896,HSIL_Dreambath_iOS_Sep16,1001,1,0.0,1230000, --
2016-10-06,660953896,HSIL_Dreambath_iOS_Sep16,695,0,0.0,0, --
2016-10-10,660953896,HSIL_Dreambath_iOS_Sep16,3775,6,0.0,12120000, --
Total, --, --,2904072,4019,308.0,119612976991, --
