Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Creative,Creative ID,DCM Placement ID,Creative Status,Creative Source,Creative Integration Code,Cookie Reach
TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ JUNE 16,2236494,Active,,Advantedges_IND_Data-targeted_300x250,18809138,128119692,Active,User,,250281
TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ JUNE 16,2236494,Active,,TOEFL 468x60,18809140,128121403,Active,User,,109
TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ JUNE 16,2236494,Active,,TOEFL 160x600,18809141,128120579,Active,User,,156432

Report Time:,2016/06/08 10:34 GMT
Date Range:,2016/06/07 to 2016/06/07
Group By:,Advertiser
Group By:,Insertion Order
Group By:,Creative
Filter by Partner:,610940
